year,ppm,temperature,coal,oil,gas,cement,flaring,other,fossil_total,landuse_sink,landuse_emission,landuse_balance,bio_sink,ocean_sink,atmosphere_growth,res_gas_min,res_gas_max,res_gas_avrg,res_coal_min,res_coal_max,res_coal_avrg,res_oil_min,res_oil_max,res_oil_avrg,res_fossil_min,res_fossil_max,res_fossil_avrg,res_soil_min,res_soil_max,res_soil_avrg,res_veg_min,res_veg_max,res_ver_avrg,res_bio_min,res_bio_max,res_bio_avrg,res_ocean,res_atmosphere,res_permafrost
2039,433.29,1.24,4.85,4.19,2.52,0.50,0.12,0.12,12.30,3.07,4.03,0.96,3.88,3.45,6.28,314.85,1066.85,690.85,307.67,402.67,355.17,55.27,146.27,100.77,677.80,1615.80,1146.80,1585.88,2485.88,2035.88,474.22,674.22,574.22,2060.11,3160.11,2610.11,40550.39,765.53,1681.00
2038,431.70,1.22,4.80,4.15,2.49,0.49,0.12,0.11,12.17,3.06,4.02,0.96,3.84,3.42,6.22,317.37,1069.37,693.37,312.52,407.52,360.02,59.46,150.46,104.96,689.36,1627.36,1158.36,1582.86,2482.86,2032.86,473.37,673.37,573.37,2056.23,3156.23,2606.23,40546.94,759.26,1682.00
2037,430.11,1.20,4.75,4.12,2.46,0.49,0.12,0.11,12.05,3.04,4.01,0.97,3.81,3.39,6.16,319.87,1071.87,695.87,317.32,412.32,364.82,63.62,154.62,109.12,700.80,1638.80,1169.80,1579.86,2479.86,2029.86,472.52,672.52,572.52,2052.39,3152.39,2602.39,40543.52,753.04,1683.00
2036,428.52,1.19,4.70,4.08,2.43,0.48,0.12,0.11,11.93,3.02,4.00,0.98,3.77,3.36,6.10,322.33,1074.33,698.33,322.07,417.07,369.57,67.73,158.73,113.23,712.13,1650.13,1181.13,1576.89,2476.89,2026.89,471.69,671.69,571.69,2048.58,3148.58,2598.58,40540.13,746.88,1684.00
2035,426.93,1.17,4.65,4.05,2.40,0.47,0.12,0.11,11.80,3.01,3.99,0.98,3.74,3.32,6.04,324.76,1076.76,700.76,326.77,421.77,374.27,71.81,162.81,117.31,723.35,1661.35,1192.35,1573.95,2473.95,2023.95,470.86,670.86,570.86,2044.80,3144.80,2594.80,40536.77,740.78,1685.00
2034,425.34,1.15,4.60,4.01,2.37,0.47,0.12,0.11,11.68,2.99,3.98,0.99,3.70,3.29,5.98,327.16,1079.16,703.16,331.42,426.42,378.92,75.86,166.86,121.36,734.45,1672.45,1203.45,1571.03,2471.03,2021.03,470.03,670.03,570.03,2041.06,3141.06,2591.06,40533.45,734.74,1686.00
2033,423.76,1.13,4.56,3.97,2.34,0.46,0.12,0.11,11.56,2.97,3.97,1.00,3.67,3.26,5.92,329.53,1081.53,705.53,336.03,431.03,383.53,79.87,170.87,125.37,745.43,1683.43,1214.43,1568.14,2468.14,2018.14,469.22,669.22,569.22,2037.36,3137.36,2587.36,40530.16,728.76,1687.00
2032,422.17,1.11,4.51,3.94,2.31,0.46,0.12,0.10,11.43,2.96,3.96,1.00,3.63,3.23,5.86,331.87,1083.87,707.87,340.59,435.59,388.09,83.84,174.84,129.34,756.30,1694.30,1225.30,1565.28,2465.28,2015.28,468.41,668.41,568.41,2033.69,3133.69,2583.69,40526.90,722.83,1688.00
2031,420.58,1.09,4.46,3.90,2.28,0.45,0.11,0.10,11.31,2.94,3.95,1.01,3.60,3.19,5.81,334.19,1086.19,710.19,345.09,440.09,392.59,87.78,178.78,133.28,767.06,1705.06,1236.06,1562.45,2462.45,2012.45,467.61,667.61,567.61,2030.06,3130.06,2580.06,40523.67,716.97,1689.00
2030,418.99,1.07,4.41,3.87,2.25,0.44,0.11,0.10,11.19,2.92,3.94,1.02,3.56,3.16,5.75,336.47,1088.47,712.47,349.55,444.55,397.05,91.68,182.68,137.18,777.70,1715.70,1246.70,1559.64,2459.64,2009.64,466.82,666.82,566.82,2026.46,3126.46,2576.46,40520.48,711.16,1690.00
